PersonID,CommentID
bb1190045,C0000118
bb1190046,C0000119
bb1190047,C0000120
bb1190048,C0000121
bb1190049,C0000122
bb1190050,C0000123
bb1190052,C0000124
bb1190054,C0000125
bb1190055,C0000126
bb1190056,C0000127
bb1190058,C0000128
bb1190059,C0000129
bb1190060,C0000130
bb1190062,C0000131
bb1190063,C0000132
bb1190064,C0000133
bb1190065,C0000134
bb1190066,C0000135
bb1190067,C0000136
bb1191068,C0000137
bb1199015,C0000138
bb1199166,C0000139
bb1199168,C0000140
bb1199172,C0000141
bb1199173,C0000142
bb1199174,C0000143
bb1200001,C0000144
bb1200002,C0000145
bb1200003,C0000146
bb1200004,C0000147
bb1200005,C0000148
bb1200006,C0000149
bb1200007,C0000150
bb1200008,C0000151
bb1200009,C0000152
bb1200010,C0000153
bb1200011,C0000154
bb1200012,C0000155
bb1200013,C0000156
bb1200014,C0000157
bb1200016,C0000158
bb1200017,C0000159
bb1200018,C0000160
bb1200019,C0000161
bb1200020,C0000162
bb1200021,C0000163
bb1200022,C0000164
bb1200023,C0000165
bb1200024,C0000166
bb1200025,C0000167
bb1200026,C0000168
bb1200027,C0000169
bb1200028,C0000170
bb1200029,C0000171
bb1200030,C0000172
bb1200031,C0000173
bb1200032,C0000174
bb1200033,C0000175
bb1200034,C0000176
bb1200035,C0000177
bb1200036,C0000178
bb1200037,C0000179
bb1200038,C0000180
bb1200039,C0000181
bb1200040,C0000182
bb1200041,C0000183
bb1200042,C0000184
bb1200043,C0000185
bb1200044,C0000186
bb1200045,C0000187
bb1200046,C0000188
bb1200047,C0000189
bb1200048,C0000190
bb1200049,C0000191
bb1200050,C0000192
bb1200051,C0000193
bb1200052,C0000194
bb1200053,C0000195
bb1200054,C0000196
bb1200055,C0000197
bb1200056,C0000198
bb1200057,C0000199
bb1200058,C0000200
bb1200059,C0000201
bb1200060,C0000202
bb1200061,C0000203
bb1200062,C0000204
bb1200063,C0000205
bb1200064,C0000206
bb1200065,C0000207
bb1200066,C0000208
bb1200067,C0000209
bb1201187,C0000210
bb1210002,C0000211
bb1210003,C0000212
bb1210004,C0000213
bb1210005,C0000214
bb1210006,C0000215
bb1210007,C0000216
bb1210008,C0000217
bb1210009,C0000218
bb1210010,C0000219
bb1210011,C0000220
bb1210012,C0000221
bb1210013,C0000222
bb1210310,C0000223
bb1210311,C0000224
bb1210312,C0000225
bb1210314,C0000226
bb1210315,C0000227
bb1210316,C0000228
bb1210317,C0000229
bb1210318,C0000230
bb1210319,C0000231
bb1210320,C0000232
bb1210321,C0000233
bb1210322,C0000234
bb1210323,C0000235
bb1210324,C0000236
bb1210325,C0000237
bb1210326,C0000238
bb1210327,C0000239
bb1210328,C0000240
bb1210329,C0000241
bb1210332,C0000242
bb1210333,C0000243
bb1210334,C0000244
bb1210335,C0000245
bb1210336,C0000246
bb1210337,C0000247
bb1210338,C0000248
bb1210339,C0000249
bb1210340,C0000250
bb1210341,C0000251
bb1210342,C0000252
bb1210343,C0000253
bb1210344,C0000254
bb1210345,C0000255
bb1210346,C0000256
bb1210347,C0000257
bb1210348,C0000258
bb1210349,C0000259
bb1210350,C0000260
bb1210351,C0000261
bb1210352,C0000262
bb1210353,C0000263
bb1210354,C0000264
bb1210355,C0000265
bb1210356,C0000266
bb1210357,C0000267
bb1210358,C0000268
bb1210359,C0000269
bb1210360,C0000270
bb1210361,C0000271
bb1210362,C0000272
bb1210363,C0000273
bb1210364,C0000274
bb1210365,C0000275
bb1210366,C0000276
bb1210367,C0000277
bb1210368,C0000278
bb1210369,C0000279
bb1210370,C0000280
bb1211203,C0000281
bb1211205,C0000282
bb1211206,C0000283
bb1211210,C0000284
bb1211214,C0000285
ce1190204,C0000286
ce1190206,C0000287
ce1190207,C0000288
ce1190208,C0000289
ce1190209,C0000290
ce1190210,C0000291
ce1190212,C0000292
ce1190214,C0000293
ce1190215,C0000294
ce1190216,C0000295
ce1190217,C0000296
ce1190218,C0000297
ce1190219,C0000298
ce1190220,C0000299
ce1190221,C0000300
ce1190222,C0000301
ce1190223,C0000302
ce1190227,C0000303
ce1190228,C0000304
ce1190229,C0000305
ce1190230,C0000306
ce1190231,C0000307
ce1190232,C0000308
ce1190233,C0000309
ce1190234,C0000310
ce1190235,C0000311
ce1190236,C0000312
ce1190237,C0000313
ce1190238,C0000314
ce1190239,C0000315
ce1190240,C0000316
ce1190241,C0000317
ce1190242,C0000318
ce1190243,C0000319
ce1190245,C0000320
ce1190246,C0000321
ce1190247,C0000322
ce1190248,C0000323
ce1190250,C0000324
ce1190253,C0000325
ce1190254,C0000326
ce1190256,C0000327
ce1190258,C0000328
ce1190259,C0000329
ce1190260,C0000330
ce1190261,C0000331
ce1190263,C0000332
ce1190264,C0000333
ce1190265,C0000334
ce1190266,C0000335
ce1190268,C0000336
ce1190270,C0000337
ce1190271,C0000338
ce1190273,C0000339
ce1190274,C0000340
ce1190275,C0000341
ce1190276,C0000342
ce1190277,C0000343
ce1190278,C0000344
ce1190279,C0000345
ce1190280,C0000346
ce1190281,C0000347
ce1190282,C0000348
ce1190283,C0000349
ce1190284,C0000350
ce1190286,C0000351
ce1190287,C0000352
ce1190288,C0000353
ce1190290,C0000354
ce1190291,C0000355
ce1190292,C0000356
ce1190293,C0000357
ce1190294,C0000358
ce1190295,C0000359
ce1190297,C0000360
ce1190298,C0000361
ce1190299,C0000362
ce1190300,C0000363
ce1190301,C0000364
ce1190302,C0000365
ce1190303,C0000366
ce1190304,C0000367
ce1190305,C0000368
ce1190306,C0000369
ce1190307,C0000370
ce1190308,C0000371
ce1190309,C0000372
ce1190310,C0000373
ce1190311,C0000374
ce1190312,C0000375
ce1190313,C0000376
ce1190314,C0000377
ce1190315,C0000378
ce1190316,C0000379
ce1190317,C0000380
ce1190318,C0000381
ce1190319,C0000382
ce1190320,C0000383
ce1191073,C0000384
ce1191074,C0000385
ce1191075,C0000386
ce1191076,C0000387
ce1199012,C0000388
ce1199013,C0000389
ce1199014,C0000390
ce1199171,C0000391
ce1200207,C0000392
ce1200208,C0000393
ce1200209,C0000394
ce1200210,C0000395
ce1200211,C0000396
ce1200212,C0000397
ce1200213,C0000398
ce1200215,C0000399
ce1200216,C0000400
ce1200217,C0000401
ce1200218,C0000402
ce1200219,C0000403
ce1200220,C0000404
ce1200221,C0000405
ce1200222,C0000406
ce1200223,C0000407
ce1200224,C0000408
ce1200225,C0000409
ce1200227,C0000410
ce1200228,C0000411
ce1200229,C0000412
ce1200230,C0000413
ce1200231,C0000414
ce1200232,C0000415
ce1200233,C0000416
ce1200235,C0000417
ce1200236,C0000418
ce1200237,C0000419
ce1200238,C0000420
ce1200239,C0000421
ce1200240,C0000422
ce1200241,C0000423
ce1200242,C0000424
ce1200243,C0000425
ce1200244,C0000426
ce1200245,C0000427
ce1200246,C0000428
ce1200247,C0000429
ce1200248,C0000430
ce1200249,C0000431
ce1200251,C0000432
ce1200252,C0000433
ce1200253,C0000434
ce1200254,C0000435
ce1200255,C0000436
ce1200256,C0000437
ce1200257,C0000438
ce1200258,C0000439
ce1200259,C0000440
ce1200260,C0000441
ce1200261,C0000442
ce1200262,C0000443
ce1200263,C0000444
ce1200264,C0000445
ce1200265,C0000446
ce1200266,C0000447
ce1200267,C0000448
ce1200268,C0000449
ce1200269,C0000450
ce1200270,C0000451
ce1200271,C0000452
ce1200272,C0000453
ce1200273,C0000454
ce1200274,C0000455
ce1200275,C0000456
ce1200276,C0000457
ce1200277,C0000458
ce1200278,C0000459
ce1200279,C0000460
ce1200280,C0000461
ce1200281,C0000462
ce1200282,C0000463
ce1200283,C0000464
ce1200284,C0000465
ce1200285,C0000466
ce1200286,C0000467
ce1200287,C0000468
ce1200288,C0000469
ce1200289,C0000470
ce1200291,C0000471
ce1200292,C0000472
ce1200293,C0000473
ce1200294,C0000474
ce1200295,C0000475
ce1200296,C0000476
ce1200297,C0000477
ce1200298,C0000478
ce1200299,C0000479
ce1200300,C0000480
ce1200301,C0000481
ce1200302,C0000482
ce1200303,C0000483
ce1200304,C0000484
ce1200305,C0000485
ce1200306,C0000486
ce1200308,C0000487
ce1200309,C0000488
ce1200311,C0000489
ce1200312,C0000490
ce1200314,C0000491
ce1200315,C0000492
ce1200316,C0000493
ce1200572,C0000494
ce1201188,C0000495
ce1201189,C0000496
ce1210034,C0000497
ce1210037,C0000498
ce1210038,C0000499
ce1210039,C0000500
ce1210040,C0000501
ce1210042,C0000502
ce1210043,C0000503
ce1210044,C0000504
ce1210045,C0000505
ce1210046,C0000506
ce1210047,C0000507
ce1210048,C0000508
ce1210049,C0000509
ce1210050,C0000510
ce1210051,C0000511
ce1210052,C0000512
ce1210053,C0000513
ce1210054,C0000514
ce1210055,C0000515
ce1210056,C0000516
ce1210057,C0000517
ce1210058,C0000518
ce1210059,C0000519
ce1210060,C0000520
ce1210061,C0000521
ce1210062,C0000522
ce1210063,C0000523
ce1210064,C0000524
ce1210065,C0000525
ce1210066,C0000526
ce1210067,C0000527
ce1210146,C0000528
ce1210470,C0000529
ce1210472,C0000530
ce1210473,C0000531
ce1210474,C0000532
ce1210475,C0000533
ce1210476,C0000534
ce1210477,C0000535
ce1210478,C0000536
ce1210479,C0000537
ce1210480,C0000538
ce1210481,C0000539
ce1210483,C0000540
ce1210484,C0000541
ce1210485,C0000542
ce1210486,C0000543
ce1210487,C0000544
ce1210488,C0000545
ce1210489,C0000546
ce1210490,C0000547
ce1210491,C0000548
ce1210492,C0000549
ce1210493,C0000550
ce1210494,C0000551
ce1210495,C0000552
ce1210496,C0000553
ce1210497,C0000554
ce1210498,C0000555
ce1210499,C0000556
ce1210500,C0000557
ce1210501,C0000558
ce1210502,C0000559
ce1210503,C0000560
ce1210504,C0000561
ce1210505,C0000562
ce1210506,C0000563
ce1210507,C0000564
ce1210508,C0000565
ce1210509,C0000566
ce1210510,C0000567
ce1210511,C0000568
ce1210512,C0000569
ce1210513,C0000570
ce1210514,C0000571
ce1210515,C0000572
ce1210516,C0000573
ce1210517,C0000574
ce1210518,C0000575
ce1210519,C0000576
ce1210520,C0000577
ce1210521,C0000578
ce1210522,C0000579
ce1210523,C0000580
ce1210524,C0000581
ce1210525,C0000582
ce1210526,C0000583
ce1210527,C0000584
ce1210528,C0000585
ce1210529,C0000586
ce1210530,C0000587
ce1210531,C0000588
ce1210532,C0000589
ce1210533,C0000590
ce1210534,C0000591
ce1210535,C0000592
ce1210536,C0000593
ce1210537,C0000594
ce1210538,C0000595
ce1210539,C0000596
ce1210540,C0000597
ce1210541,C0000598
ce1210542,C0000599
ce1210543,C0000600
ce1210544,C0000601
ce1210545,C0000602
ce1211201,C0000603
ce1211212,C0000604
ch1190057,C0000605
ch1190069,C0000606
ch1190070,C0000607
ch1190071,C0000608
ch1190072,C0000609
ch1190073,C0000610
ch1190074,C0000611
ch1190076,C0000612
ch1190077,C0000613
ch1190078,C0000614
ch1190080,C0000615
ch1190081,C0000616
ch1190083,C0000617
ch1190084,C0000618
ch1190085,C0000619
ch1190086,C0000620
ch1190087,C0000621
ch1190088,C0000622
ch1190089,C0000623
ch1190090,C0000624
ch1190091,C0000625
ch1190092,C0000626
ch1190093,C0000627
ch1190094,C0000628
ch1190095,C0000629
ch1190097,C0000630
ch1190098,C0000631
ch1190099,C0000632
ch1190100,C0000633
ch1190101,C0000634
ch1190103,C0000635
ch1190106,C0000636
ch1190109,C0000637
ch1190110,C0000638
ch1190111,C0000639
ch1190112,C0000640
ch1190113,C0000641
ch1190114,C0000642
ch1190115,C0000643
ch1190116,C0000644
ch1190117,C0000645
ch1190118,C0000646
ch1190119,C0000647
ch1190122,C0000648
ch1190124,C0000649
ch1190125,C0000650
ch1190126,C0000651
ch1190127,C0000652
ch1190130,C0000653
ch1190132,C0000654
ch1190133,C0000655
ch1190134,C0000656
ch1190135,C0000657
ch1190136,C0000658
ch1190137,C0000659
ch1190138,C0000660
ch1190139,C0000661
ch1190140,C0000662
ch1190141,C0000663
ch1190142,C0000664
ch1190144,C0000665
ch1190145,C0000666
ch1190146,C0000667
ch1190147,C0000668
ch1190148,C0000669
ch1190289,C0000670
ch1190804,C0000671
ch1190857,C0000672
ch1190884,C0000673
ch1190920,C0000674
ch1190923,C0000675
ch1190926,C0000676
ch1190958,C0000677
ch1190960,C0000678
ch1191062,C0000679
ch1199158,C0000680
ch1200068,C0000681
ch1200069,C0000682
ch1200070,C0000683
ch1200071,C0000684
ch1200072,C0000685
ch1200073,C0000686
ch1200074,C0000687
ch1200075,C0000688
ch1200076,C0000689
ch1200077,C0000690
ch1200078,C0000691
ch1200079,C0000692
ch1200080,C0000693
ch1200081,C0000694
ch1200082,C0000695
ch1200084,C0000696
ch1200085,C0000697
ch1200086,C0000698
ch1200087,C0000699
ch1200088,C0000700
ch1200089,C0000701
ch1200090,C0000702
ch1200091,C0000703
ch1200092,C0000704
ch1200093,C0000705
ch1200095,C0000706
ch1200096,C0000707
ch1200097,C0000708
ch1200098,C0000709
ch1200099,C0000710
ch1200100,C0000711
ch1200101,C0000712
ch1200102,C0000713
ch1200103,C0000714
ch1200104,C0000715
ch1200105,C0000716
ch1200106,C0000717
ch1200107,C0000718
ch1200108,C0000719
ch1200109,C0000720
ch1200110,C0000721
ch1200111,C0000722
ch1200112,C0000723
ch1200113,C0000724
ch1200114,C0000725
ch1200115,C0000726
ch1200116,C0000727
ch1200117,C0000728
ch1200118,C0000729
ch1200119,C0000730
ch1200120,C0000731
ch1200121,C0000732
ch1200124,C0000733
ch1200125,C0000734
ch1200126,C0000735
ch1200130,C0000736
ch1200131,C0000737
ch1200132,C0000738
ch1200133,C0000739
ch1200134,C0000740
ch1200135,C0000741
ch1200136,C0000742
ch1200137,C0000743
ch1200138,C0000744
ch1200139,C0000745
ch1200140,C0000746
ch1200141,C0000747
ch1200142,C0000748
ch1200145,C0000749
ch1200146,C0000750
ch1200147,C0000751
ch1200148,C0000752
ch1200149,C0000753
ch1200185,C0000754
ch1210015,C0000755
ch1210016,C0000756
ch1210018,C0000757
ch1210019,C0000758
ch1210020,C0000759
ch1210021,C0000760
ch1210022,C0000761
ch1210023,C0000762
bb1211206,C0000763
bb1211210,C0000764
bb1211214,C0000765
ce1190204,C0000766
ce1190206,C0000767
ce1190207,C0000768
ce1190208,C0000769
ce1190209,C0000770
ce1190210,C0000771
ce1190212,C0000772
ce1190214,C0000773
ce1190215,C0000774
ch1210380,C0000775
ch1210381,C0000776
ch1210382,C0000777
ch1210384,C0000778
ch1210385,C0000779
ch1210386,C0000780
ch1210387,C0000781
ch1210388,C0000782
ch1210390,C0000783
ch1210391,C0000784
ch1210393,C0000785
ch1210394,C0000786
ch1210395,C0000787
ch1210396,C0000788
ch1210397,C0000789
ch1210398,C0000790
ch1210399,C0000791
ch1210400,C0000792
ch1210401,C0000793
ch1210402,C0000794
ch1210403,C0000795
ch1210404,C0000796
ch1210405,C0000797
ch1210406,C0000798
ch1210407,C0000799
ch1210408,C0000800
ch1210409,C0000801
ch1210410,C0000802
ch1210411,C0000803
ch1210412,C0000804
ch1210413,C0000805
ch1210414,C0000806
ch1210415,C0000807
ch1210416,C0000808
ch1210417,C0000809
ch1210418,C0000810
ch1210419,C0000811
ch1210420,C0000812
ch1210421,C0000813
ch1210422,C0000814
ch1210423,C0000815
ch1210424,C0000816
ch1210425,C0000817
ch1210426,C0000818
ch1210427,C0000819
ch1210428,C0000820
ch1210429,C0000821
ch1210430,C0000822
ch1210431,C0000823
ch1210432,C0000824
ch1210439,C0000825
ch1211045,C0000826
ch7190149,C0000827
ch7190150,C0000828
ch7190151,C0000829
ch7190152,C0000830
ch7190153,C0000831
ch7190154,C0000832
ch7190155,C0000833
ch7190156,C0000834
ch7190157,C0000835
ch7190158,C0000836
ch7190160,C0000837
ch7190161,C0000838
ch7190162,C0000839
ch7190164,C0000840
ch7190165,C0000841
ch7190166,C0000842
ch7190167,C0000843
ch7190168,C0000844
ch7190169,C0000845
ch7190170,C0000846
ch7190171,C0000847
ch7190172,C0000848
ch7190173,C0000849
ch7190174,C0000850
ch7190175,C0000851
ch7190177,C0000852
ch7190178,C0000853
ch7190179,C0000854
ch7190180,C0000855
ch7190182,C0000856
ch7190183,C0000857
ch7190184,C0000858
ch7190185,C0000859
ch7190186,C0000860
ch7190187,C0000861
ch7190188,C0000862
ch7190189,C0000863
ch7190190,C0000864
ch7190191,C0000865
ch7190192,C0000866
ch7190193,C0000867
ch7190194,C0000868
ch7190196,C0000869
ch7190197,C0000870
ch7190198,C0000871
ch7190199,C0000872
ch7190200,C0000873
ch7190201,C0000874
ch7190202,C0000875
ch7190203,C0000876
ch7191064,C0000877
ch7191066,C0000878
ch7191069,C0000879
ch7200150,C0000880
ch7200151,C0000881
ch7200152,C0000882
ch7200153,C0000883
ch7200154,C0000884
ch7200155,C0000885
ch7200156,C0000886
ch7200157,C0000887
ch7200158,C0000888
ch7200160,C0000889
ch7200161,C0000890
ch7200162,C0000891
ch7200164,C0000892
ch7200165,C0000893
ch7200166,C0000894
ch7200167,C0000895
ch7200168,C0000896
ch7200169,C0000897
ch7200170,C0000898
ch7200171,C0000899
ch7200172,C0000900
ch7200173,C0000901
ch7200174,C0000902
ch7200175,C0000903
ch7200176,C0000904
ch7200177,C0000905
ch7200178,C0000906
ch7200179,C0000907
ch7200180,C0000908
ch7200181,C0000909
ch7200182,C0000910
ch7200183,C0000911
ch7200184,C0000912
ch7200186,C0000913
ch7200187,C0000914
ch7200188,C0000915
ch7200189,C0000916
ch7200190,C0000917
ch7200191,C0000918
ch7200192,C0000919
ch7200193,C0000920
ch7200194,C0000921
ch7200195,C0000922
ch7200196,C0000923
ch7200197,C0000924
ch7200198,C0000925
ch7200199,C0000926
ch7200200,C0000927
ch7200201,C0000928
ch7200202,C0000929
ch7200203,C0000930
ch7200204,C0000931
ch7200205,C0000932
ch7210026,C0000933
ch7210027,C0000934
ch7210028,C0000935
ch7210029,C0000936
ch7210030,C0000937
ch7210031,C0000938
ch7210032,C0000939
ch7210033,C0000940
ch7210433,C0000941
ch7210435,C0000942
ch7210436,C0000943
ch7210437,C0000944
ch7210438,C0000945
ch7210440,C0000946
ch7210441,C0000947
ch7210442,C0000948
ch7210443,C0000949
ch7210444,C0000950
ch7210445,C0000951
ch7210446,C0000952
ch7210447,C0000953
ch7210448,C0000954
ch7210449,C0000955
ch7210450,C0000956
ch7210451,C0000957
ch7210452,C0000958
ch7210453,C0000959
ch7210454,C0000960
ch7210455,C0000961
ch7210456,C0000962
ch7210457,C0000963
ch7210458,C0000964
ch7210459,C0000965
ch7210460,C0000966
ch7210461,C0000967
ch7210462,C0000968
ch7210463,C0000969
ch7210464,C0000970
ch7210465,C0000971
ch7210466,C0000972
ch7210467,C0000973
ch7210468,C0000974
ch7210469,C0000975
ch7211222,C0000976
cs1190272,C0000977
cs1190321,C0000978
cs1190322,C0000979
cs1190323,C0000980
cs1190324,C0000981
cs1190325,C0000982
cs1190326,C0000983
cs1190327,C0000984
cs1190328,C0000985
cs1190329,C0000986
cs1190330,C0000987
cs1190331,C0000988
cs1190332,C0000989
cs1190333,C0000990
cs1190334,C0000991
cs1190335,C0000992
cs1190336,C0000993
cs1190337,C0000994
cs1190338,C0000995
cs1190339,C0000996
cs1190340,C0000997
cs1190341,C0000998
cs1190342,C0000999
cs1190343,C0001000
cs1190344,C0001001
cs1190345,C0001002
cs1190346,C0001003
cs1190347,C0001004
cs1190348,C0001005
cs1190349,C0001006
cs1190350,C0001007
cs1190351,C0001008
cs1190352,C0001009
cs1190353,C0001010
cs1190354,C0001011
cs1190355,C0001012
cs1190356,C0001013
cs1190357,C0001014
cs1190358,C0001015
cs1190359,C0001016
cs1190360,C0001017
cs1190361,C0001018
cs1190362,C0001019
cs1190363,C0001020
cs1190364,C0001021
cs1190365,C0001022
cs1190366,C0001023
cs1190367,C0001024
cs1190368,C0001025
cs1190369,C0001026
cs1190370,C0001027
cs1190371,C0001028
cs1190372,C0001029
cs1190373,C0001030
cs1190374,C0001031
cs1190375,C0001032
cs1190376,C0001033
cs1190377,C0001034
cs1190378,C0001035
cs1190379,C0001036
cs1190380,C0001037
cs1190381,C0001038
cs1190382,C0001039
cs1190383,C0001040
cs1190384,C0001041
cs1190385,C0001042
cs1190386,C0001043
cs1190387,C0001044
cs1190388,C0001045
cs1190389,C0001046
cs1190390,C0001047
cs1190392,C0001048
cs1190393,C0001049
cs1190394,C0001050
cs1190395,C0001051
cs1190396,C0001052
cs1190397,C0001053
cs1190398,C0001054
cs1190399,C0001055
cs1190400,C0001056
cs1190401,C0001057
cs1190402,C0001058
cs1190403,C0001059
cs1190404,C0001060
cs1190405,C0001061
cs1190406,C0001062
cs1190407,C0001063
cs1190408,C0001064
cs1190409,C0001065
cs1190410,C0001066
cs1190411,C0001067
cs1190412,C0001068
cs1190413,C0001069
cs1190424,C0001070
cs1190431,C0001071
cs1190432,C0001072
cs1190444,C0001073
cs1190452,C0001074
cs1190458,C0001075
cs1190465,C0001076
cs1190490,C0001077
cs1190496,C0001078
cs1190671,C0001079
cs1190673,C0001080
cs1190699,C0001081
cs1190722,C0001082
cs1191016,C0001083
cs1199001,C0001084
cs1199005,C0001085
cs1200317,C0001086
cs1200318,C0001087
cs1200319,C0001088
cs1200320,C0001089
cs1200321,C0001090
cs1200322,C0001091
cs1200323,C0001092
cs1200324,C0001093
cs1200325,C0001094
cs1200326,C0001095
cs1200327,C0001096
cs1200328,C0001097
cs1200329,C0001098
cs1200330,C0001099
cs1200331,C0001100
cs1200332,C0001101
cs1200333,C0001102
cs1200334,C0001103
cs1200335,C0001104
cs1200336,C0001105
cs1200337,C0001106
cs1200338,C0001107
cs1200339,C0001108
cs1200340,C0001109
cs1200341,C0001110
cs1200342,C0001111
cs1200343,C0001112
cs1200344,C0001113
cs1200345,C0001114
cs1200346,C0001115
cs1200347,C0001116
cs1200348,C0001117
cs1200349,C0001118
cs1200350,C0001119
cs1200351,C0001120
cs1200352,C0001121
cs1200353,C0001122
cs1200354,C0001123
cs1200355,C0001124
cs1200356,C0001125
cs1200357,C0001126
cs1200358,C0001127
cs1200359,C0001128
cs1200361,C0001129
cs1200362,C0001130
cs1200363,C0001131
cs1200364,C0001132
cs1200365,C0001133
cs1200366,C0001134
cs1200367,C0001135
cs1200368,C0001136
cs1200369,C0001137
cs1200370,C0001138
cs1200371,C0001139
cs1200372,C0001140
cs1200373,C0001141
cs1200374,C0001142
cs1200375,C0001143
cs1200376,C0001144
cs1200377,C0001145
cs1200378,C0001146
cs1200379,C0001147
cs1200380,C0001148
cs1200381,C0001149
cs1200382,C0001150
cs1200383,C0001151
cs1200384,C0001152
cs1200385,C0001153
cs1200386,C0001154
cs1200387,C0001155
cs1200388,C0001156
cs1200389,C0001157
cs1200390,C0001158
cs1200391,C0001159
cs1200392,C0001160
cs1200393,C0001161
cs1200394,C0001162
cs1200395,C0001163
cs1200396,C0001164
cs1200397,C0001165
cs1200398,C0001166
cs1200399,C0001167
cs1200400,C0001168
cs1200401,C0001169
cs1200402,C0001170
cs1200403,C0001171
cs1200404,C0001172
cs1200405,C0001173
cs1200406,C0001174
cs1200407,C0001175
cs1200408,C0001176
cs1200409,C0001177
cs1200410,C0001178
cs1200411,C0001179
cs1200412,C0001180
cs1200413,C0001181
cs1200414,C0001182
cs1200420,C0001183
cs1200447,C0001184
cs1200448,C0001185
cs1200494,C0001186
cs1200567,C0001187
cs1200584,C0001188
cs1200604,C0001189
cs1200607,C0001190
cs1200612,C0001191
cs1200837,C0001192
cs1200840,C0001193
cs1200869,C0001194
cs1200878,C0001195
cs1200891,C0001196
cs1201190,C0001197
cs1210014,C0001198
cs1210068,C0001199
cs1210069,C0001200
cs1210070,C0001201
cs1210071,C0001202
cs1210072,C0001203
cs1210073,C0001204
cs1210074,C0001205
cs1210075,C0001206
cs1210076,C0001207
cs1210077,C0001208
cs1210078,C0001209
cs1210079,C0001210
cs1210080,C0001211
cs1210081,C0001212
cs1210082,C0001213
cs1210083,C0001214
cs1210084,C0001215
cs1210085,C0001216
cs1210086,C0001217
cs1210087,C0001218
cs1210088,C0001219
cs1210089,C0001220
cs1210090,C0001221
cs1210091,C0001222
cs1210092,C0001223
cs1210093,C0001224
cs1210094,C0001225
cs1210095,C0001226
cs1210096,C0001227
cs1210097,C0001228
cs1210098,C0001229
cs1210099,C0001230
cs1210100,C0001231
cs1210101,C0001232
cs1210102,C0001233
cs1210103,C0001234
cs1210104,C0001235
cs1210105,C0001236
cs1210106,C0001237
cs1210107,C0001238
cs1210108,C0001239
cs1210109,C0001240
cs1210110,C0001241
cs1210111,C0001242
cs1210112,C0001243
cs1210113,C0001244
cs1210114,C0001245
cs1210115,C0001246
cs1210116,C0001247
cs1210117,C0001248
cs1210118,C0001249
cs1210119,C0001250
cs1210120,C0001251
cs1210121,C0001252
cs1210122,C0001253
cs1210123,C0001254
cs1210134,C0001255
cs1210229,C0001256
cs1210243,C0001257
cs1210546,C0001258
cs1210547,C0001259
cs1210548,C0001260
cs1210549,C0001261
cs1210550,C0001262
cs1210551,C0001263
cs1210552,C0001264
cs1210553,C0001265
cs1210554,C0001266
cs1210555,C0001267
cs1210556,C0001268
cs1210557,C0001269
cs1210558,C0001270
cs1210559,C0001271
cs1210560,C0001272
cs1210561,C0001273
cs1210562,C0001274
cs1210563,C0001275
cs1210564,C0001276
cs1210565,C0001277
