PersonID,GroupID
bb1200038,G0000002
bb1200039,G0000009
bb1200040,G0000006
bb1200041,G0000002
bb1200042,G0000013
bb1200043,G0000009
bb1200044,G0000006
bb1200045,G0000013
bb1200046,G0000004
bb1200047,G0000006
bb1200048,G0000006
bb1200049,G0000002
bb1200050,G0000013
bb1200051,G0000009
bb1200052,G0000013
bb1200053,G0000009
bb1200054,G0000013
bb1200055,G0000004
bb1200056,G0000013
bb1200057,G0000002
bb1200058,G0000002
bb1200059,G0000002
bb1200060,G0000009
bb1200061,G0000009
bb1200062,G0000006
bb1200063,G0000009
bb1200064,G0000009
bb1200065,G0000006
bb1200066,G0000006
bb1200067,G0000002
bb1201187,G0000002
bb1210002,G0000009
bb1210003,G0000003
bb1210004,G0000003
bb1210005,G0000003
bb1210006,G0000004
bb1210007,G0000003
bb1210008,G0000003
bb1210009,G0000001
bb1210010,G0000001
bb1210011,G0000003
bb1210012,G0000001
bb1210013,G0000003
bb1210310,G0000001
bb1210311,G0000012
bb1210312,G0000007
bb1210314,G0000004
bb1210315,G0000007
bb1210316,G0000009
bb1210317,G0000003
bb1210318,G0000009
bb1210319,G0000007
bb1210320,G0000004
bb1210321,G0000007
bb1210322,G0000004
bb1210323,G0000003
bb1210324,G0000003
bb1210325,G0000007
bb1210326,G0000009
bb1210327,G0000012
bb1210328,G0000001
bb1210329,G0000001
bb1210332,G0000001
bb1210333,G0000001
bb1210334,G0000004
bb1210335,G0000007
bb1210336,G0000003
bb1210337,G0000012
bb1210338,G0000004
bb1210339,G0000007
bb1210340,G0000001
bb1210341,G0000001
bb1210342,G0000012
bb1210343,G0000007
bb1210344,G0000009
bb1210345,G0000004
bb1210346,G0000007
bb1210347,G0000004
bb1210348,G0000012
bb1210349,G0000007
bb1210350,G0000003
bb1210351,G0000007
bb1210352,G0000003
bb1210353,G0000009
bb1210354,G0000012
bb1210355,G0000007
bb1210356,G0000001
bb1210357,G0000001
bb1210358,G0000003
bb1210359,G0000007
bb1210360,G0000012
bb1210361,G0000009
bb1210362,G0000004
bb1210363,G0000007
bb1210364,G0000009
bb1210365,G0000009
bb1210366,G0000001
bb1210367,G0000001
bb1210368,G0000009
bb1210370,G0000007
bb1211203,G0000007
bb1211205,G0000012
bb1211206,G0000007
bb1211210,G0000001
bb1211214,G0000009
ce1190204,G0000001
ce1190206,G0000006
ce1190207,G0000008
ce1190208,G0000009
ce1190209,G0000006
ce1190210,G0000008
ce1190212,G0000006
ce1190214,G0000008
ce1190215,G0000012
ce1190216,G0000008
ce1190217,G0000001
ce1190218,G0000001
ce1190219,G0000012
ce1190220,G0000009
ce1190221,G0000006
ce1190222,G0000013
ce1190223,G0000008
ce1190227,G0000013
ce1190228,G0000006
ce1190229,G0000014
ce1190230,G0000014
ce1190231,G0000008
ce1190232,G0000009
ce1190233,G0000008
ce1190234,G0000013
ce1190235,G0000001
ce1190236,G0000009
ce1190237,G0000006
ce1190238,G0000013
ce1190239,G0000008
ce1190240,G0000009
ce1190241,G0000013
ce1190242,G0000012
ce1190243,G0000006
ce1190245,G0000013
ce1190246,G0000001
ce1190247,G0000014
ce1190248,G0000009
ce1190250,G0000001
ce1190253,G0000001
ce1190254,G0000009
ce1190256,G0000012
ce1190258,G0000013
ce1190259,G0000008
ce1190260,G0000001
ce1190261,G0000006
ce1190263,G0000001
ce1190264,G0000009
ce1190266,G0000008
ce1190268,G0000006
ce1190270,G0000009
ce1190271,G0000012
ce1190273,G0000013
ce1190274,G0000006
ce1190275,G0000008
ce1190276,G0000014
ce1190277,G0000013
ce1190278,G0000006
ce1190279,G0000008
ce1190280,G0000012
ce1190281,G0000013
ce1190282,G0000001
ce1190283,G0000009
ce1190284,G0000006
ce1190286,G0000012
ce1190288,G0000001
ce1190290,G0000009
ce1190291,G0000006
ce1190292,G0000008
ce1190293,G0000008
ce1190294,G0000014
ce1190295,G0000009
ce1190297,G0000014
ce1190298,G0000009
ce1190299,G0000008
ce1190300,G0000014
ce1190301,G0000001
ce1190302,G0000009
ce1190303,G0000008
ce1190304,G0000014
ce1190305,G0000009
ce1190306,G0000014
ce1190307,G0000012
ce1190308,G0000014
ce1190309,G0000009
ce1190310,G0000001
ce1190311,G0000001
ce1190312,G0000014
ce1190313,G0000001
ce1190314,G0000009
ce1190315,G0000012
ce1190316,G0000014
ce1190317,G0000014
ce1190318,G0000012
ce1190319,G0000009
ce1190320,G0000008
ce1191073,G0000013
ce1191074,G0000013
ce1191076,G0000006
ce1200207,G0000006
ce1200208,G0000013
ce1200209,G0000011
ce1200210,G0000004
ce1200211,G0000003
ce1200212,G0000011
ce1200213,G0000004
ce1200215,G0000011
ce1200216,G0000001
ce1200217,G0000006
ce1200218,G0000009
ce1200219,G0000003
ce1200220,G0000009
ce1200221,G0000011
ce1200222,G0000009
ce1200223,G0000004
ce1200224,G0000004
ce1200225,G0000011
ce1200227,G0000009
ce1200228,G0000013
ce1200229,G0000003
ce1200230,G0000007
ce1200231,G0000004
ce1200232,G0000009
ce1200233,G0000007
ce1200235,G0000011
ce1200236,G0000004
ce1200237,G0000011
ce1200238,G0000001
ce1200239,G0000006
ce1200240,G0000003
ce1200241,G0000004
ce1200242,G0000013
ce1200243,G0000009
ce1200244,G0000011
ce1200245,G0000009
ce1200246,G0000003
ce1200247,G0000009
ce1200248,G0000006
ce1200249,G0000001
ce1200251,G0000011
ce1200252,G0000001
ce1200253,G0000001
ce1200254,G0000006
ce1200255,G0000001
ce1200256,G0000001
ce1200257,G0000004
ce1200258,G0000007
ce1200259,G0000013
ce1200260,G0000009
ce1200261,G0000001
ce1200262,G0000006
ce1200263,G0000003
ce1200264,G0000001
ce1200265,G0000013
ce1200266,G0000009
ce1200267,G0000013
ce1200268,G0000001
ce1200269,G0000001
ce1200270,G0000001
ce1200271,G0000011
ce1200272,G0000003
ce1200273,G0000013
ce1200274,G0000001
ce1200275,G0000006
ce1200276,G0000013
ce1200277,G0000011
ce1200278,G0000001
ce1200279,G0000007
ce1200280,G0000003
ce1200281,G0000001
ce1200282,G0000001
ce1200283,G0000013
ce1200284,G0000013
ce1200285,G0000001
ce1200286,G0000001
ce1200287,G0000003
ce1200288,G0000013
ce1200289,G0000011
ce1200291,G0000013
ce1200292,G0000006
ce1200293,G0000013
ce1200294,G0000006
ce1200295,G0000004
ce1200296,G0000003
ce1200297,G0000013
ce1200298,G0000004
ce1200299,G0000001
ce1200300,G0000006
ce1200301,G0000004
ce1200302,G0000003
ce1200303,G0000013
ce1200304,G0000013
ce1200305,G0000009
ce1200306,G0000006
ce1200308,G0000001
ce1200309,G0000001
ce1200311,G0000013
ce1200312,G0000001
ce1200314,G0000013
ce1200315,G0000006
ce1200316,G0000007
ce1200572,G0000013
ce1201188,G0000009
ce1201189,G0000001
ce1210034,G0000008
ce1210037,G0000008
ce1210038,G0000013
ce1210039,G0000013
ce1210040,G0000001
ce1210042,G0000009
ce1210043,G0000008
ce1210044,G0000013
ce1210045,G0000009
ce1210046,G0000008
ce1210047,G0000008
ce1210048,G0000013
ce1210049,G0000008
ce1210050,G0000008
ce1210051,G0000001
ce1210052,G0000008
ce1210053,G0000008
ce1210054,G0000013
ce1210055,G0000013
ce1210056,G0000009
ce1210057,G0000009
ce1210058,G0000001
ce1210059,G0000008
ce1210060,G0000013
ce1210061,G0000009
ce1210062,G0000008
ce1210063,G0000008
ce1210064,G0000009
ce1210065,G0000013
ce1210066,G0000001
ce1210067,G0000001
ce1210146,G0000005
ce1210470,G0000006
ce1210472,G0000012
ce1210473,G0000008
ce1210474,G0000009
ce1210475,G0000012
ce1210476,G0000006
ce1210477,G0000009
ce1210478,G0000008
ce1210479,G0000012
ce1210480,G0000009
ce1210481,G0000008
ce1210483,G0000013
ce1210484,G0000006
ce1210485,G0000013
ce1210486,G0000012
ce1210487,G0000012
ce1210488,G0000008
ce1210489,G0000009
ce1210490,G0000008
ce1210491,G0000013
ce1210492,G0000006
ce1210493,G0000009
ce1210494,G0000012
ce1210495,G0000008
ce1210496,G0000013
ce1210497,G0000006
ce1210498,G0000012
ce1210499,G0000001
ce1210500,G0000001
ce1210501,G0000001
ce1210502,G0000001
ce1210503,G0000001
ce1210504,G0000001
ce1210505,G0000001
ce1210506,G0000001
ce1210507,G0000008
ce1210508,G0000006
ce1210509,G0000008
ce1210510,G0000009
ce1210511,G0000012
ce1210512,G0000006
ce1210513,G0000008
ce1210514,G0000001
ce1210515,G0000001
ce1210516,G0000009
ce1210517,G0000008
ce1210518,G0000012
ce1210519,G0000009
ce1210520,G0000008
ce1210521,G0000006
ce1210522,G0000013
ce1210523,G0000013
ce1210524,G0000008
ce1210525,G0000012
ce1210526,G0000006
ce1210527,G0000013
ce1210528,G0000008
ce1210529,G0000009
ce1210530,G0000013
ce1210531,G0000006
ce1210532,G0000001
ce1210533,G0000001
ce1210534,G0000001
ce1210535,G0000001
ce1210536,G0000001
ce1210537,G0000012
ce1210538,G0000008
ce1210539,G0000006
ce1210540,G0000008
ce1210541,G0000006
ce1210542,G0000009
ce1210543,G0000012
ce1210544,G0000001
ce1210545,G0000001
ce1211201,G0000008
ce1211212,G0000008
ch1190057,G0000004
ch1190069,G0000013
ch1190070,G0000012
ch1190071,G0000013
ch1190072,G0000003
ch1190073,G0000013
ch1190074,G0000007
ch1190076,G0000012
ch1190077,G0000001
ch1190078,G0000007
ch1190080,G0000007
ch1190081,G0000003
ch1190083,G0000012
ch1190084,G0000001
ch1190085,G0000007
ch1190086,G0000007
ch1190088,G0000001
ch1190089,G0000013
ch1190090,G0000001
ch1190091,G0000001
ch1190092,G0000001
ch1190093,G0000007
ch1190094,G0000003
ch1190095,G0000007
ch1190097,G0000007
ch1190098,G0000013
ch1190099,G0000007
ch1190100,G0000001
ch1190101,G0000012
ch1190103,G0000012
ch1190106,G0000001
ch1190109,G0000007
ch1190110,G0000001
ch1190111,G0000007
ch1190112,G0000001
ch1190113,G0000012
ch1190114,G0000001
ch1190115,G0000003
ch1190116,G0000013
ch1190117,G0000007
ch1190118,G0000012
ch1190119,G0000013
ch1190122,G0000013
ch1190124,G0000003
ch1190125,G0000007
ch1190126,G0000012
ch1190127,G0000007
ch1190130,G0000001
ch1190132,G0000007
ch1190133,G0000001
ch1190134,G0000012
ch1190135,G0000003
ch1190136,G0000001
ch1190137,G0000001
ch1190138,G0000013
ch1190139,G0000007
ch1190140,G0000003
ch1190141,G0000012
ch1190142,G0000013
ch1190144,G0000003
ch1190145,G0000013
ch1190146,G0000012
ch1190147,G0000007
ch1190148,G0000012
ch1190289,G0000001
ch1190804,G0000002
ch1190857,G0000004
ch1190884,G0000007
ch1190920,G0000012
ch1190923,G0000007
ch1190926,G0000004
ch1190958,G0000003
ch1190960,G0000006
ch1191062,G0000002
ch1200068,G0000006
ch1200069,G0000013
ch1200070,G0000005
ch1200071,G0000005
ch1200072,G0000013
ch1200073,G0000006
ch1200074,G0000011
ch1200075,G0000013
ch1200076,G0000005
ch1200077,G0000013
ch1200078,G0000011
ch1200079,G0000005
ch1200080,G0000005
ch1200081,G0000013
ch1200082,G0000005
ch1200084,G0000005
ch1200085,G0000006
ch1200086,G0000005
ch1200087,G0000013
ch1200088,G0000005
ch1200089,G0000005
ch1200090,G0000001
ch1200091,G0000011
ch1200092,G0000013
ch1200093,G0000005
ch1200095,G0000001
ch1200096,G0000005
ch1200097,G0000005
ch1200098,G0000001
ch1200099,G0000005
ch1200100,G0000005
ch1200101,G0000013
ch1200102,G0000005
ch1200103,G0000006
ch1200104,G0000011
ch1200105,G0000006
ch1200106,G0000001
ch1200107,G0000001
ch1200108,G0000005
ch1200109,G0000001
ch1200110,G0000001
ch1200111,G0000013
ch1200112,G0000006
ch1200113,G0000005
ch1200114,G0000005
ch1200115,G0000005
ch1200116,G0000005
ch1200117,G0000005
ch1200118,G0000001
ch1200119,G0000001
ch1200120,G0000005
ch1200121,G0000001
ch1200124,G0000005
ch1200125,G0000011
ch1200126,G0000005
ch1200130,G0000005
ch1200131,G0000001
ch1200132,G0000013
ch1200133,G0000013
ch1200134,G0000001
ch1200135,G0000006
ch1200136,G0000005
ch1200137,G0000006
ch1200138,G0000013
ch1200139,G0000001
ch1200140,G0000001
ch1200141,G0000005
ch1200142,G0000006
ch1200145,G0000001
ch1200146,G0000001
ch1200147,G0000005
ch1200148,G0000006
ch1200149,G0000005
ch1200185,G0000001
ch1210015,G0000013
ch1210016,G0000013
ch1210018,G0000013
ch1210019,G0000013
ch1210020,G0000013
ch1210021,G0000013
ch1210022,G0000001
ch1210023,G0000001
ch1210024,G0000007
ch1210025,G0000013
ch1210331,G0000001
ch1210371,G0000007
ch1210372,G0000007
ch1210373,G0000007
ch1210374,G0000011
ch1210376,G0000008
ch1210377,G0000007
ch1210378,G0000007
ch1210379,G0000007
ch1210380,G0000012
ch1210381,G0000013
ch1210382,G0000008
ch1210384,G0000011
ch1210385,G0000013
ch1210386,G0000008
ch1210387,G0000013
ch1210388,G0000007
ch1210390,G0000011
ch1210391,G0000001
ch1210393,G0000001
ch1210394,G0000001
ch1210395,G0000001
ch1210396,G0000001
ch1210397,G0000008
ch1210398,G0000012
ch1210399,G0000008
ch1210400,G0000012
ch1210401,G0000001
ch1210402,G0000001
ch1210403,G0000007
ch1210404,G0000008
ch1210405,G0000013
ch1210406,G0000012
ch1210407,G0000008
ch1210408,G0000013
ch1210409,G0000007
ch1210410,G0000012
ch1210411,G0000011
ch1210412,G0000013
ch1210413,G0000008
ch1210414,G0000012
ch1210415,G0000008
ch1210416,G0000001
ch1210417,G0000001
ch1210418,G0000001
ch1210419,G0000012
ch1210420,G0000008
ch1210421,G0000008
ch1210422,G0000011
ch1210423,G0000008
ch1210424,G0000008
ch1210425,G0000012
ch1210426,G0000007
ch1210427,G0000007
ch1210428,G0000001
ch1210429,G0000001
ch1210430,G0000008
ch1210431,G0000012
ch1210432,G0000008
ch1210439,G0000011
ch1211045,G0000007
ch7190149,G0000001
ch7190150,G0000011
ch7190151,G0000008
ch7190152,G0000011
ch7190153,G0000011
ch7190154,G0000011
ch7190155,G0000008
ch7190156,G0000011
ch7190157,G0000014
ch7190158,G0000008
ch7190160,G0000011
ch7190161,G0000014
ch7190162,G0000014
ch7190164,G0000001
ch7190165,G0000014
ch7190166,G0000008
ch7190167,G0000011
ch7190168,G0000008
ch7190169,G0000011
ch7190170,G0000014
ch7190171,G0000001
ch7190172,G0000008
ch7190173,G0000014
ch7190174,G0000014
ch7190175,G0000011
ch7190177,G0000001
ch7190178,G0000001
ch7190179,G0000014
ch7190180,G0000011
ch7190182,G0000011
ch7190183,G0000008
ch7190184,G0000008
ch7190186,G0000001
ch7190187,G0000014
ch7190188,G0000008
ch7190189,G0000014
ch7190190,G0000001
ch7190191,G0000001
ch7190192,G0000008
ch7190193,G0000008
ch7190194,G0000011
ch7190196,G0000001
ch7190197,G0000008
ch7190198,G0000011
ch7190199,G0000008
ch7190200,G0000014
ch7190201,G0000011
ch7190202,G0000008
ch7190203,G0000011
ch7191064,G0000001
ch7191066,G0000001
ch7191069,G0000008
ch7200150,G0000013
ch7200151,G0000012
ch7200152,G0000011
ch7200153,G0000013
ch7200154,G0000001
ch7200155,G0000001
ch7200156,G0000014
ch7200157,G0000011
ch7200158,G0000001
ch7200160,G0000014
ch7200161,G0000011
ch7200162,G0000014
ch7200164,G0000012
ch7200165,G0000012
ch7200166,G0000001
ch7200167,G0000014
ch7200168,G0000011
ch7200169,G0000009
ch7200170,G0000001
ch7200171,G0000001
ch7200172,G0000014
ch7200173,G0000013
ch7200174,G0000011
ch7200175,G0000014
ch7200176,G0000009
ch7200177,G0000013
ch7200178,G0000012
ch7200179,G0000001
ch7200180,G0000011
ch7200181,G0000014
ch7200182,G0000011
ch7200183,G0000001
ch7200184,G0000013
ch7200186,G0000014
ch7200187,G0000012
ch7200188,G0000009
ch7200189,G0000012
ch7200190,G0000011
ch7200191,G0000014
ch7200192,G0000001
ch7200193,G0000011
ch7200194,G0000013
ch7200195,G0000012
ch7200196,G0000011
ch7200197,G0000012
ch7200198,G0000013
ch7200199,G0000014
ch7200200,G0000009
ch7200201,G0000014
ch7200202,G0000001
ch7200203,G0000014
ch7200204,G0000012
ch7200205,G0000001
ch7210026,G0000012
ch7210027,G0000012
ch7210028,G0000001
ch7210029,G0000001
ch7210030,G0000012
ch7210031,G0000012
ch7210032,G0000012
ch7210033,G0000012
ch7210433,G0000008
ch7210435,G0000012
ch7210436,G0000011
ch7210437,G0000008
ch7210438,G0000012
ch7210440,G0000008
ch7210441,G0000014
ch7210442,G0000008
ch7210443,G0000008
ch7210444,G0000011
ch7210445,G0000001
ch7210446,G0000001
ch7210447,G0000001
ch7210448,G0000008
ch7210449,G0000011
ch7210450,G0000012
ch7210451,G0000008
ch7210452,G0000012
ch7210453,G0000011
ch7210454,G0000012
ch7210455,G0000008
ch7210456,G0000008
ch7210457,G0000011
ch7210458,G0000008
ch7210459,G0000008
ch7210460,G0000001
ch7210461,G0000001
ch7210462,G0000011
ch7210463,G0000008
ch7210464,G0000011
ch7210465,G0000008
ch7210466,G0000001
ch7210467,G0000001
ch7210468,G0000011
ch7210469,G0000008
ch7211222,G0000008
cs1190272,G0000009
cs1190321,G0000001
cs1190322,G0000013
cs1190323,G0000006
cs1190324,G0000009
cs1190325,G0000009
cs1190327,G0000006
cs1190328,G0000012
cs1190329,G0000006
cs1190330,G0000012
cs1190331,G0000009
cs1190332,G0000013
cs1190333,G0000006
cs1190334,G0000003
cs1190335,G0000006
cs1190336,G0000006
cs1190337,G0000007
cs1190338,G0000001
cs1190339,G0000006
cs1190340,G0000003
cs1190341,G0000013
cs1190342,G0000006
cs1190343,G0000006
cs1190344,G0000001
cs1190346,G0000009
cs1190347,G0000007
cs1190348,G0000003
cs1190349,G0000009
cs1190350,G0000012
cs1190351,G0000006
cs1190352,G0000007
cs1190353,G0000009
cs1190354,G0000001
cs1190355,G0000003
cs1190356,G0000006
cs1190357,G0000001
cs1190358,G0000013
cs1190359,G0000006
cs1190360,G0000001
cs1190361,G0000007
cs1190362,G0000001
cs1190363,G0000007
cs1190364,G0000001
cs1190365,G0000012
cs1190366,G0000001
cs1190367,G0000003
cs1190368,G0000007
cs1190369,G0000009
cs1190370,G0000009
cs1190372,G0000003
cs1190373,G0000012
cs1190374,G0000007
cs1190375,G0000012
cs1190376,G0000003
cs1190377,G0000007
cs1190378,G0000013
cs1190379,G0000012
cs1190380,G0000007
cs1190381,G0000013
cs1190382,G0000007
cs1190383,G0000012
cs1190384,G0000009
cs1190385,G0000001
cs1190386,G0000007
cs1190387,G0000012
cs1190388,G0000012
cs1190389,G0000001
cs1190390,G0000001
cs1190392,G0000007
cs1190393,G0000003
cs1190394,G0000006
cs1190395,G0000006
cs1190396,G0000013
cs1190397,G0000009
cs1190398,G0000012
cs1190399,G0000006
cs1190400,G0000006
cs1190401,G0000001
cs1190402,G0000001
cs1190403,G0000013
cs1190404,G0000012
cs1190405,G0000006
cs1190406,G0000009
cs1190407,G0000009
cs1190408,G0000013
cs1190409,G0000006
cs1190410,G0000006
cs1190411,G0000006
cs1190412,G0000003
cs1190413,G0000003
cs1190424,G0000008
cs1190431,G0000004
cs1190432,G0000014
cs1190444,G0000014
cs1190452,G0000006
cs1190458,G0000014
cs1190465,G0000004
cs1190490,G0000014
cs1190496,G0000004
cs1190673,G0000014
cs1190699,G0000003
cs1190722,G0000014
cs1191016,G0000006
cs1200317,G0000003
cs1200318,G0000004
cs1200319,G0000005
cs1200320,G0000001
cs1200321,G0000001
cs1200322,G0000003
cs1200323,G0000011
cs1200324,G0000007
cs1200325,G0000001
cs1200326,G0000008
cs1200327,G0000003
cs1200328,G0000012
cs1200329,G0000004
cs1200330,G0000005
cs1200331,G0000005
cs1200332,G0000003
cs1200333,G0000011
cs1200334,G0000003
cs1200335,G0000012
cs1200336,G0000008
cs1200337,G0000001
cs1200338,G0000007
cs1200339,G0000011
cs1200340,G0000003
cs1200341,G0000011
cs1200342,G0000007
cs1200343,G0000008
cs1200344,G0000005
cs1200345,G0000001
cs1200346,G0000003
cs1200347,G0000007
cs1200348,G0000012
cs1200349,G0000003
cs1200350,G0000001
cs1200351,G0000011
cs1200352,G0000003
cs1200353,G0000007
cs1200354,G0000003
cs1200355,G0000004
cs1200356,G0000011
cs1200357,G0000001
cs1200358,G0000003
cs1200359,G0000007
cs1200361,G0000003
cs1200362,G0000005
cs1200363,G0000008
cs1200364,G0000003
cs1200365,G0000003
cs1200366,G0000008
cs1200367,G0000001
cs1200368,G0000004
cs1200369,G0000003
cs1200370,G0000011
cs1200371,G0000001
cs1200372,G0000005
cs1200373,G0000012
cs1200374,G0000001
cs1200375,G0000003
cs1200376,G0000011
cs1200377,G0000003
cs1200378,G0000008
cs1200379,G0000011
cs1200380,G0000003
cs1200381,G0000001
cs1200382,G0000005
cs1200383,G0000011
cs1200384,G0000001
cs1200385,G0000003
cs1200386,G0000007
cs1200387,G0000001
cs1200388,G0000008
cs1200389,G0000004
cs1200390,G0000011
cs1200391,G0000001
cs1200392,G0000007
cs1200393,G0000001
cs1200394,G0000001
cs1200395,G0000001
cs1200396,G0000001
cs1200397,G0000012
cs1200398,G0000008
cs1200399,G0000011
cs1200400,G0000005
cs1200401,G0000003
cs1200402,G0000008
cs1200403,G0000007
cs1200404,G0000005
cs1200405,G0000011
cs1200406,G0000007
cs1200407,G0000008
cs1200408,G0000005
cs1200409,G0000011
cs1200410,G0000001
cs1200411,G0000005
cs1200412,G0000011
cs1200413,G0000007
cs1200414,G0000008
cs1200420,G0000009
cs1200447,G0000009
cs1200448,G0000005
cs1200494,G0000001
cs1200567,G0000005
cs1200584,G0000013
cs1200604,G0000013
cs1200607,G0000005
cs1200612,G0000009
cs1200837,G0000004
cs1200840,G0000007
cs1200869,G0000004
cs1200878,G0000009
cs1200891,G0000009
cs1201190,G0000011
cs1210068,G0000013
cs1210070,G0000006
cs1210071,G0000009
cs1210072,G0000006
cs1210073,G0000007
cs1210074,G0000013
cs1210075,G0000006
cs1210076,G0000014
cs1210077,G0000009
cs1210078,G0000014
cs1210079,G0000007
cs1210080,G0000014
cs1210081,G0000001
cs1210082,G0000006
cs1210083,G0000001
cs1210084,G0000001
cs1210085,G0000001
cs1210086,G0000014
cs1210087,G0000007
cs1210088,G0000006
cs1210089,G0000009
cs1210090,G0000007
cs1210091,G0000014
cs1210092,G0000009
cs1210093,G0000001
cs1210094,G0000007
cs1210095,G0000006
cs1210096,G0000014
cs1210097,G0000014
cs1210098,G0000006
cs1210099,G0000012
cs1210100,G0000012
cs1210101,G0000009
cs1210102,G0000007
cs1210103,G0000009
cs1210104,G0000014
cs1210105,G0000006
cs1210106,G0000006
cs1210107,G0000012
cs1210108,G0000001
cs1210109,G0000001
cs1210110,G0000006
cs1210111,G0000009
cs1210112,G0000014
cs1210113,G0000007
cs1210114,G0000006
cs1210115,G0000007
cs1210116,G0000006
cs1210117,G0000001
cs1210118,G0000001
cs1210119,G0000009
cs1210120,G0000007
cs1210121,G0000006
cs1210122,G0000001
cs1210123,G0000001
cs1210134,G0000006
cs1210229,G0000011
cs1210243,G0000014
cs1210546,G0000001
cs1210547,G0000006
cs1210548,G0000013
cs1210549,G0000007
cs1210550,G0000006
cs1210551,G0000012
cs1210552,G0000009
cs1210553,G0000013
cs1210554,G0000006
cs1210555,G0000007
cs1210556,G0000012
cs1210557,G0000013
cs1210558,G0000014
cs1210559,G0000006
cs1210560,G0000012
cs1210561,G0000013
cs1210562,G0000006
cs1210563,G0000007
cs1210564,G0000013
cs1210565,G0000001
cs1210566,G0000001
cs1210567,G0000001
cs1210568,G0000009
cs1210569,G0000006
cs1210570,G0000001
cs1210571,G0000009
cs1210572,G0000013
cs1210573,G0000006
cs1210574,G0000012
cs1210575,G0000013
cs1210576,G0000007
cs1210577,G0000006
cs1210578,G0000001
cs1210579,G0000001
cs1210580,G0000001
cs1210581,G0000012
cs1210582,G0000013
cs1210583,G0000006
cs1210584,G0000007
cs1210585,G0000009
cs1210586,G0000001
cs1210587,G0000001
cs1210588,G0000013
cs1210589,G0000012
cs1210590,G0000006
cs1210639,G0000007
cs1210793,G0000008
cs1210891,G0000005
cs1210914,G0000009
